site,mrccode,schooldistrictlocation,schooldistrictcode,schoollevel,schoollevelcode,schoolid,schoolcode,schoolname,
Aboke,37,Kole,163,Primary,2,0002,21630002,Bracky Primary School,
Aboke,37,Kole,163,Primary,2,0003,21630003,Abongodero Primary School,
Aboke,37,Kole,163,Primary,2,0004,21630004,Acubany Primary School,
Aboke,37,Kole,163,Primary,2,0005,21630005,Alutikot Primary School,
Aboke,37,Kole,163,Primary,2,0006,21630006,Loro Central Primary School,
Bala,38,Kole,163,Primary,2,0007,21630007,Omuge Primary School,
Bala,38,Kole,163,Primary,2,0008,21630008,Bala Primary School,
Bala,38,Kole,163,Primary,2,0009,21630009,Future Elites Primary School,
Bala,38,Kole,163,Primary,2,0010,21630010,Tere Primary School,
Apwori,42,Kwania,223,Primary,2,0001,22230001,Apwori Primary School,
Apwori,42,Kwania,223,Primary,2,0002,22230002,Goi Primary School,
Apwori,42,Kwania,223,Primary,2,0003,22230003,Aduku Road Primary School,
Apwori,42,Kwania,223,Primary,2,0004,22230004,Atuma Primary School,
Apwori,42,Kwania,223,Primary,2,0005,22230005,Agala Lang Primary School,
Apwori,42,Kwania,223,Primary,2,0006,22230006,St Michael Primary School,
Apwori,42,Kwania,223,Primary,2,0007,22230007,Exodus Primary School,
Apwori,42,Kwania,223,Primary,2,0008,22230008,Tikoling Primary School,
Apwori,42,Kwania,223,Primary,2,0009,22230009,Ikwera Negri Primary School,
Apwori,42,Kwania,223,Primary,2,0010,22230010,Wigweng B Primary School,
Aduku,41,Kwania,223,Primary,2,0011,22230011,Ikwera (boys + girls) Primary School,
Aduku,41,Kwania,223,Primary,2,0012,22230012,St Margaret Primary School,
Aduku,41,Kwania,223,Primary,2,0013,22230013,Aburi Primary School,
Aduku,41,Kwania,223,Primary,2,0014,22230014,Ikwera Negri Primary School,
Aduku,41,Kwania,223,Primary,2,0015,22230015,Crane Primary School,
Aduku,41,Kwania,223,Primary,2,0016,22230016,Merryland Primary School,
Aduku,41,Kwania,223,Primary,2,0017,22230017,Abongodic Primary School,
